Hasil PISA 2015 Brazil dan Italia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NEGARA,KLMN,UMUR,PLING,PIBU,PBPK,PORTU,LUARJAM,MMAT,MBHS,MSNS,MOTIF,KOLAB,NILAIKOL,EMO,SOSEKO,MAT,BACA,SAINS
BRA,1,"15,67","0,9944",6,6,6,12,360,270,360,"0,3377","-0,2882","-0,6214","-0,0436","1,4367","388,109","411,444","355,075"
BRA,1,"15,42",0.NA4,4,5,5,7,200,200,200,"0,8101","0,4252","1,4758","1,0991","0,3444","606,773","600,966","565,02"
BRA,1,"15,92","0,9638",6,6,6,17,180,90,90,"0,5242","2,2879","-0,0235","1,0991","0,6646","523,445","510,727","544,98"
BRA,2,"15,92","0,9578",2,4,4,22,480,480,240,"-0,2803","-0,8088","0,0333","-0,2495",-1.57NA,"396,809","414,224","434,726"
BRA,1,"15,58","0,9525",4,2,4,15,160,160,80,"0,9399",-0.NA05,"0,0333","1,0991","-1,3406","322,013","457,607","400,299"
BRA,1,"15,83","0,8981",6,6,6,11,180,90,135,"0,705","-0,2882","2,1017","-0,5246","0,8844","433,791","573,361","454,892"
BRA,1,"15,75","0,8948",6,6,6,23,250,350,550,"0,8101","-0,2882","0,0333","0,3838",0.NA61,"430,24","574,811","460,626"
BRA,1,"15,67","0,8948",4,6,6,7,250,100,150,"-0,3263","-0,2882","-0,6214","0,4662","0,2657","411,969","518,63","495,888"
BRA,2,"15,75","0,8948",0,4,4,10,180,180,90,"1,8543","0,4252",0.9NA8,"-1,6136","0,0277","512,775","540,47","543,855"
BRA,2,16,"0,8948",1,4,4,2,150,150,100,"-0,5158","-0,2882",0.9NA8,"-0,2495","-0,9934","536,163","500,317","527,469"
BRA,1,"15,83","0,8948",4,4,4,13,200,200,150,"0,5242","1,3264","1,4758","1,0991","-1,1868","386,948","478,537","437,944"
BRA,1,"15,58","0,8948",4,1,4,8,200,200,100,"0,0078","-0,618","0,891","0,1018","-1,2634","463,763","528,061","499,653"
BRA,1,16,"0,8948",2,4,4,6,240,240,80,"0,075","-0,2882","-0,3735","0,3838","-1,3265","358,531","541,351","404,733"
BRA,1,"16,25","0,8774",6,4,6,15,275,275,110,"0,3236","0,5759","0,24","-1,0093","0,5044","472,139",463.6NA,"471,352"
BRA,1,"15,42","0,8774",2,4,4,18,200,250,100,"1,1359","-0,2882","-0,5601","1,0991","-0,7425","363,039","413,341","381,527"
BRA,1,"15,83","0,8774",0,0,0,5,100,100,150,"-0,3954","1,5604","2,1017","1,0991","-3,6042","286,454","422,413","377,233"
BRA,2,"15,5","0,8323",4,5,5,7,200,150,150,"-0,0362","-0,618",0.9NA8,"0,1004","0,2899","569,466","678,002","583,787"
BRA,2,"15,92","0,808",6,4,6,55,100,150,200,"-0,4441","1,0425","2,1017","1,0991","1,0479","378,855","341,46","421,189"
BRA,1,"15,58","0,808",1,4,4,50,300,300,100,"0,5031","0,4252","0,0333","-0,4244","-0,0949","406,431","480,367","462,168"
BRA,2,"16,33","0,808",2,2,2,25,150,200,150,"0,3377","0,5759","1,4758","1,0991","-1,845","508,098","561,726","564,814"
BRA,1,"15,67","0,8065",6,6,6,10,180,180,120,"0,1665","0,5759","0,7516","-0,0436","0,0117","383,428","427,316","408,283"
BRA,1,"15,42","0,8057",6,6,6,21,120,160,240,"-0,3263","0,395","0,2944","-0,4263","0,8683","359,834","480,716","412,536"
BRA,1,16,"0,8057",4,1,4,21,200,200,100,"0,5111","-0,2882","-1,039","0,5658","-1,4072","378,96","404,839","340,14"
BRA,2,16,"0,7694",6,6,6,16,200,250,100,"0,5652","0,395","-0,4428","-0,4263","0,8986","382,912","364,163","390,288"
BRA,1,"16,17","0,7539",2,6,6,43,400,200,500,"0,0078",-0.NA05,"0,0333","-0,889","0,3663","484,682","606,315","499,963"
BRA,1,"16,08","0,7502",6,6,6,24,400,100,300,"0,1609","0,395","0,748","1,0991","0,8459","575,389","606,578","571,909"
BRA,2,"15,58","0,7408",6,6,6,14,180,240,60,"0,5775","0,5759","2,1017","0,5658",0.11NA,"377,843","434,026","469,143"
BRA,2,"15,42","0,7408",1,1,1,5,250,200,300,"0,5242","-0,7876","0,3895","-1,3869","-2,3019","368,256","269,795","394,783"
BRA,2,"15,75","0,7298",2,1,2,6,300,250,100,"0,705","-0,2882","2,1017","1,0991","-1,911","441,932","521,592","412,519"
BRA,2,"16,08","0,7086",6,6,6,25,180,120,420,"-0,1081","0,5759","-0,2212","-0,4263","0,711","458,557","535,875","556,53"
BRA,1,"15,92","0,7007",6,2,6,62,200,200,100,"1,8543","-0,2882","-1,5663","1,0991","0,7527",476.3NA,"559,295","520,368"
BRA,2,"16,17","0,6812",3,4,4,15,280,280,140,"-0,0281","-0,4751","1,1483","1,0991","-0,4306","362,718","364,04","389,492"
BRA,1,"15,42","0,6771",2,1,2,20,120,180,120,"-0,0413","-0,2882","0,0333","0,0264","-1,4116","425,069","478,644","400,836"
BRA,1,"15,42","0,6619",4,2,4,10,225,225,90,"0,0437","-0,2882","-1,039","-1,5692","-0,1742","525,84","487,942","516,52"
BRA,1,"16,08","0,6393",6,5,6,18,250,250,200,"0,8598","2,2879","1,0073","1,0991","0,6998","548,551","580,239","530,326"
BRA,1,"15,92","0,6324",1,0,1,15,135,135,270,"1,8543","1,164","-1,039","1,0991","-1,6794","525,955","553,683","591,4"
BRA,1,"15,92","0,6304",1,0,1,38,100,100,50,"-0,2803","-0,2882","0,0333","-0,889","-1,8451","226,678","243,964","284,03"
BRA,2,"15,92","0,6187",2,4,4,14,250,250,100,"1,3961","-1,319",-0.20NA,"-0,3289","0,1581","296,981","234,425","290,715"
BRA,2,"15,83","0,6187",1,0,1,6,120,120,120,"-0,8771","0,5759","0,8245","-0,2511","-1,3669","450,4","570,059","456,654"
BRA,2,"15,67","0,6187",0,4,4,10,150,150,150,"0,9399","0,395","0,891","0,1018","-1,4509","281,92","451,343","369,181"
BRA,2,"15,92","0,6187",2,1,2,16,275,220,165,"0,6611","0,4252","0,4643","1,0991","-1,8091","360,648","273,262","362,416"
BRA,2,"15,75","0,6187",2,1,2,14,200,250,200,"0,2168","-0,3352","1,4758","-0,0436","-2,1757","367,567","381,651","359,45"
BRA,2,"15,58","0,6167",1,0,1,16,200,200,300,"0,8101","1,3264","2,1017","1,0991","-1,9835","482,264","445,543","487,074"
BRA,2,"15,92","0,6019",6,2,6,16,250,250,200,"1,1359","2,2879","1,4758","1,0991","0,5516","460,485","378,637","403,08"
BRA,1,"15,5","0,6019",4,4,4,13,160,120,80,"-0,6985","1,5604","0,3938","-1,2602","-1,0295","460,394",520.NA4,"464,005"
BRA,1,"16,33","0,5962",1,2,2,30,180,135,0,"-0,5996",-0.NA05,"-0,9561","-1,1217","-1,7315","448,205","520,325","454,924"
BRA,1,"16,33","0,5785",4,4,4,13,200,150,200,"0,2168",-0.NA05,"0,0333","0,4662","-0,0781","402,868","391,327","438,676"
BRA,1,"16,25","0,576",6,4,6,11,135,45,45,"0,2937","-0,7876","0,0333","0,1711","-0,7939","468,986","488,12","468,139"
